state,county,fips,cases,deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Dale,01045,2675,59,14303,5170,19738,72.46%,26.19%,98.66%,RIGHT,561.2,87.6,49172,24214,24958,12321,5940,6381,28349,14324,14025,8502,3808,4694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Dallas,01047,2467,34,5524,12230,17864,30.92%,68.46%,99.38%,LEFT,978.7,38.0,37196,17178,20018,9693,4763,4930,20482,11184,9298,7021,2950,4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,DeKalb,01049,5635,48,24767,4281,29356,84.37%,14.58%,98.95%,RIGHT,777.1,92.0,71513,35577,35936,18843,9058,9785,40069,19947,20122,12601,5670,6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Elmore,01051,4803,72,30164,10367,41030,73.52%,25.27%,98.78%,RIGHT,618.5,131.3,81209,39236,41973,19990,9751,10239,48562,25254,23308,12657,5689,6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Escambia,01053,2214,32,10869,4918,15910,68.32%,30.91%,99.23%,RIGHT,945.1,38.8,36633,18425,18208,8989,4509,4480,20953,9821,11132,6691,2813,3878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Etowah,01055,7693,74,35528,11567,47728,74.44%,24.24%,98.67%,RIGHT,535.0,191.2,102268,49496,52772,24105,11693,12412,58367,29911,28456,19796,8628,11168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Fayette,01057,1117,16,7300,1395,8766,83.28%,15.91%,99.19%,RIGHT,627.7,26.0,16302,7937,8365,3767,1851,1916,8990,4521,4469,3545,1552,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Franklin,01059,2808,34,10376,2086,12578,82.49%,16.58%,99.08%,RIGHT,633.8,49.5,31362,15782,15580,8488,4125,4363,17500,8476,9024,5374,2395,2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Geneva,01061,1374,12,10848,1595,12545,86.47%,12.71%,99.19%,RIGHT,574.4,45.7,26271,12827,13444,6332,3102,3230,14519,7358,7161,5420,2436,2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Greene,01063,518,18,875,3884,4775,18.32%,81.34%,99.66%,LEFT,647.1,12.5,8111,3829,4282,1927,952,975,4294,2258,2036,1890,818,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Hale,01065,1099,33,3192,4663,7900,40.41%,59.03%,99.43%,LEFT,643.9,22.8,14651,6950,7701,3715,1792,1923,8051,4294,3757,2885,1270,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Henry,01067,956,7,6607,2606,9298,71.06%,28.03%,99.09%,RIGHT,561.8,30.6,17205,8309,8896,3843,1856,1987,9331,4774,4557,4031,1765,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
