SUMLEV,MUNICIPIO,72001,NAME,NAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,41,72041,Puerto Rico,Cidra Municipio,12,38307,18493,19814,1525,780,745,3796,1926,1870,1883,939,944,3546,1821,1725,32045,15305,16740,31103,14848,16255,14686,7207,7479,9745,4697,5048,10723,5072,5651,7089,3258,3831,1525,780,745,2019,1014,1005,2265,1162,1103,2403,1208,1195,2538,1302,1236,2569,1269,1300,2314,1137,1177,2398,1133,1265,2464,1158,1306,2517,1151,1366,2616,1274,1342,2895,1322,1573,2695,1325,1370,2309,1123,1186,1965,942,1023,1343,591,752,752,310,442,720,292,428,42.3,41.1,43.4
50,43,72043,Puerto Rico,Coamo Municipio,12,38336,18599,19737,1360,726,634,4004,2030,1974,1736,904,832,3004,1541,1463,32066,15369,16697,31236,14939,16297,14060,6809,7251,9807,4615,5192,11311,5442,5869,7114,3341,3773,1360,726,634,2009,1040,969,2482,1241,1241,2126,1113,1013,2127,1081,1046,2263,1148,1115,2283,1064,1219,2591,1158,1433,2670,1245,1425,2806,1329,1477,2727,1342,1385,2809,1350,1459,2969,1421,1548,2398,1200,1198,2039,984,1055,1179,516,663,769,332,437,729,309,420,43.6,42.9,44.2
50,45,72045,Puerto Rico,Comerío Municipio,12,18648,9195,9453,696,353,343,1934,996,938,906,472,434,1751,894,857,15575,7622,7953,15112,7374,7738,7341,3777,3564,4911,2525,2386,4887,2342,2545,3563,1613,1950,696,353,343,984,519,465,1177,591,586,1162,611,551,1268,641,627,1368,715,653,1181,613,568,1256,626,630,1106,571,535,1064,508,556,1217,602,615,1379,663,716,1227,569,658,1060,494,566,941,444,497,699,303,396,436,214,222,427,158,269,41,39.5,42.9
50,47,72047,Puerto Rico,Corozal Municipio,12,32293,15627,16666,1311,682,629,3427,1741,1686,1599,844,755,3042,1543,1499,26737,12769,13968,25956,12360,13596,12436,6139,6297,8225,3990,4235,8535,4043,4492,6154,2784,3370,1311,682,629,1790,927,863,2067,1052,1015,2031,1017,1014,2180,1132,1048,2267,1121,1146,1970,976,994,2008,953,1055,1980,940,1040,1924,939,985,2154,1015,1139,2329,1082,1247,2128,1007,1121,1851,848,1003,1585,740,845,1176,575,601,780,346,434,762,275,487,41.3,39.8,42.7
50,49,72049,Puerto Rico,Culebra Municipio,12,1714,846,868,67,41,26,165,72,93,71,34,37,126,57,69,1453,717,736,1411,699,712,616,297,319,433,214,219,461,232,229,391,196,195,67,41,26,95,45,50,84,35,49,90,38,52,93,45,48,124,59,65,86,46,40,112,58,54,111,51,60,105,52,53,114,58,56,129,70,59,113,52,61,121,62,59,105,53,52,70,36,34,46,24,22,49,21,28,44.8,45.4,44.3
50,51,72051,Puerto Rico,Dorado Municipio,12,36141,17147,18994,1376,694,682,3820,1892,1928,1993,985,1008,3414,1748,1666,29952,14092,15860,28952,13576,15376,14098,6816,7282,9185,4317,4868,9823,4639,5184,6530,2872,3658,1376,694,682,1955,983,972,2359,1143,1216,2585,1323,1262,2328,1176,1152,2220,1054,1166,1897,915,982,2347,1088,1259,2721,1260,1461,2882,1372,1510,2545,1234,1311,2295,1099,1196,2101,934,1167,1941,879,1062,1845,820,1025,1242,565,677,783,330,453,719,278,441,42,40.8,42.8
50,53,72053,Puerto Rico,Fajardo Municipio,12,29454,13711,15743,1172,601,571,2887,1434,1453,1372,726,646,2807,1410,1397,24721,11311,13410,24023,10950,13073,10862,5241,5621,7023,3285,3738,7546,3414,4132,6647,2841,3806,1172,601,571,1570,772,798,1657,842,815,1784,918,866,2055,1038,1017,2195,1062,1133,1615,772,843,1498,681,817,1715,770,945,2058,936,1122,2030,961,1069,1812,803,1009,1646,714,932,1505,654,851,1743,771,972,1391,635,756,988,413,575,1020,368,652,43.6,41.2,45.3
50,54,72054,Puerto Rico,Florida Municipio,12,11317,5365,5952,462,240,222,1154,575,579,552,272,280,1137,600,537,9432,4420,5012,9149,4278,4871,4471,2159,2312,2915,1356,1559,2934,1345,1589,2163,977,1186,462,240,222,626,305,321,661,339,322,730,378,352,826,425,401,834,384,450,681,318,363,640,312,328,760,342,418,740,356,384,782,356,426,694,302,392,718,331,387,693,310,383,581,266,315,420,194,226,260,125,135,209,82,127,41.3,39.8,42.5
50,55,72055,Puerto Rico,Guánica Municipio,12,15383,7388,7995,651,327,324,1554,788,766,717,378,339,1313,656,657,12823,6094,6729,12461,5895,6566,5439,2646,2793,3589,1703,1886,3715,1728,1987,3844,1808,2036,651,327,324,848,428,420,886,451,435,893,466,427,957,477,480,967,465,502,789,365,424,857,407,450,976,466,510,925,421,504,924,456,468,900,384,516,966,467,499,1085,519,566,1089,546,543,743,338,405,467,209,258,460,196,264,44.3,43.2,45.3
50,57,72057,Puerto Rico,Guayama Municipio,12,39465,19501,19964,1432,713,719,3892,1978,1914,2052,1041,1011,4120,2330,1790,33130,16294,16836,32089,15769,16320,16108,8551,7557,10424,5429,4995,10015,4687,5328,7530,3323,4207,1432,713,719,1983,998,985,2397,1229,1168,2683,1407,1276,3001,1715,1286,3102,1841,1261,2553,1342,1211,2360,1086,1274,2409,1160,1249,2573,1229,1344,2453,1142,1311,2485,1167,1318,2504,1149,1355,2188,970,1218,2044,928,1116,1453,683,770,933,390,543,912,352,560,40.5,37.4,43.2
