state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,POP tot
Georgia,Murray,13213,12943,2302,15389,84.11%,14.96%,99.06%,RIGHT,40096
Georgia,Muscogee,13215,30049,49529,80543,37.31%,61.49%,98.80%,LEFT,195769
Georgia,Newton,13217,23869,29794,54239,44.01%,54.93%,98.94%,LEFT,111744
Georgia,Oconee,13219,16595,8162,25168,65.94%,32.43%,98.37%,RIGHT,40280
Georgia,Oglethorpe,13221,5593,2436,8131,68.79%,29.96%,98.75%,RIGHT,15259
Georgia,Paulding,13223,54525,29704,85385,63.86%,34.79%,98.65%,RIGHT,168667
Georgia,Peach,13225,6502,5920,12545,51.83%,47.19%,99.02%,RIGHT,27546
Georgia,Pickens,13227,14075,2808,17116,82.23%,16.41%,98.64%,RIGHT,32591
Georgia,Pierce,13229,7899,1100,9048,87.30%,12.16%,99.46%,RIGHT,19465
Georgia,Pike,13231,9127,1505,10720,85.14%,14.04%,99.18%,RIGHT,18962
Georgia,Polk,13233,13589,3658,17399,78.10%,21.02%,99.13%,RIGHT,42613
Georgia,Pulaski,13235,2805,1217,4059,69.11%,29.98%,99.09%,RIGHT,11137
Georgia,Putnam,13237,8291,3448,11855,69.94%,29.08%,99.02%,RIGHT,22119
Georgia,Quitman,13239,604,497,1106,54.61%,44.94%,99.55%,RIGHT,2299
Georgia,Rabun,13241,7474,1984,9568,78.11%,20.74%,98.85%,RIGHT,17137
Georgia,Randolph,13243,1391,1671,3074,45.25%,54.36%,99.61%,LEFT,6778
Georgia,Richmond,13245,26781,59124,87016,30.78%,67.95%,98.72%,LEFT,202518
Georgia,Rockdale,13247,13012,31244,44686,29.12%,69.92%,99.04%,LEFT,90896
Georgia,Schley,13249,1800,462,2275,79.12%,20.31%,99.43%,RIGHT,5257
Georgia,Screven,13251,3916,2661,6628,59.08%,40.15%,99.23%,RIGHT,13966
Georgia,Seminole,13253,2611,1254,3884,67.22%,32.29%,99.51%,RIGHT,8090
Georgia,Spalding,13255,18057,11784,30116,59.96%,39.13%,99.09%,RIGHT,66703
Georgia,Stephens,13257,9368,2385,11885,78.82%,20.07%,98.89%,RIGHT,25925
Georgia,Stewart,13259,801,1182,1990,40.25%,59.40%,99.65%,LEFT,6621
Georgia,Sumter,13261,5732,6318,12150,47.18%,52.00%,99.18%,LEFT,29524
Georgia,Talbot,13263,1392,2114,3522,39.52%,60.02%,99.55%,LEFT,6195
Georgia,Taliaferro,13265,360,561,928,38.79%,60.45%,99.25%,LEFT,1537
Georgia,Tattnall,13267,6053,2061,8183,73.97%,25.19%,99.16%,RIGHT,25286
Georgia,Taylor,13269,2418,1387,3839,62.99%,36.13%,99.11%,RIGHT,8020
Georgia,Telfair,13271,2825,1487,4333,65.20%,34.32%,99.52%,RIGHT,15860
Georgia,Terrell,13273,2004,2376,4416,45.38%,53.80%,99.18%,LEFT,8531
Georgia,Thomas,13275,12954,8708,21853,59.28%,39.85%,99.13%,RIGHT,44451
Georgia,Tift,13277,10784,5322,16283,66.23%,32.68%,98.91%,RIGHT,40644
Georgia,Toombs,13279,7872,2939,10914,72.13%,26.93%,99.06%,RIGHT,26830
Georgia,Towns,13281,6384,1550,7979,80.01%,19.43%,99.44%,RIGHT,12037
Georgia,Treutlen,13283,2101,952,3077,68.28%,30.94%,99.22%,RIGHT,6901
Georgia,Troup,13285,18143,11578,30049,60.38%,38.53%,98.91%,RIGHT,69922
Georgia,Turner,13287,2349,1410,3792,61.95%,37.18%,99.13%,RIGHT,7985
Georgia,Twiggs,13289,2370,2044,4444,53.33%,45.99%,99.32%,RIGHT,8120
Georgia,Union,13291,12651,2801,15560,81.30%,18.00%,99.31%,RIGHT,24511
Georgia,Upson,13293,8608,4201,12905,66.70%,32.55%,99.26%,RIGHT,26320
Georgia,Walker,13295,23174,5769,29354,78.95%,19.65%,98.60%,RIGHT,69761
Georgia,Walton,13297,37842,12682,51095,74.06%,24.82%,98.88%,RIGHT,94593
Georgia,Ware,13299,9865,4211,14192,69.51%,29.67%,99.18%,RIGHT,35734
Georgia,Warren,13301,1166,1469,2651,43.98%,55.41%,99.40%,LEFT,5254
Georgia,Washington,13303,4663,4730,9459,49.30%,50.01%,99.30%,LEFT,20374
Georgia,Wayne,13305,9987,2687,12778,78.16%,21.03%,99.19%,RIGHT,29927
Georgia,Webster,13307,748,639,1390,53.81%,45.97%,99.78%,RIGHT,2607
Georgia,Wheeler,13309,1583,689,2285,69.28%,30.15%,99.43%,RIGHT,7855
Georgia,White,13311,12222,2411,14816,82.49%,16.27%,98.76%,RIGHT,30798
Georgia,Whitfield,13313,25636,10670,36746,69.77%,29.04%,98.80%,RIGHT,104628
Georgia,Wilcox,13315,2403,862,3281,73.24%,26.27%,99.51%,RIGHT,8635
Georgia,Wilkes,13317,2823,2160,5029,56.13%,42.95%,99.09%,RIGHT,9777
Georgia,Wilkinson,13319,2664,2075,4770,55.85%,43.50%,99.35%,RIGHT,8954
Georgia,Worth,13321,6830,2395,9285,73.56%,25.79%,99.35%,RIGHT,20247
Hawaii,Hawaii,15001,26897,58731,87814,30.63%,66.88%,97.51%,LEFT,201513
Hawaii,Honolulu,15003,136259,238869,382114,35.66%,62.51%,98.17%,LEFT,974563
Hawaii,Kauai,15007,22126,47305,71044,31.14%,66.59%,97.73%,LEFT,72293
Hawaii,Maui,15009,11582,21225,33497,34.58%,63.36%,97.94%,LEFT,167417
Idaho,Ada,16001,130699,120539,259389,50.39%,46.47%,96.86%,RIGHT,481587
Idaho,Adams,16003,1941,591,2586,75.06%,22.85%,97.91%,RIGHT,4294
Idaho,Bannock,16005,23331,14682,39553,58.99%,37.12%,96.11%,RIGHT,87808
Idaho,Bear Lake,16007,2914,350,3315,87.90%,10.56%,98.46%,RIGHT,6125
Idaho,Benewah,16009,3878,977,4973,77.98%,19.65%,97.63%,RIGHT,9298
Idaho,Bingham,16011,15295,4124,20094,76.12%,20.52%,96.64%,RIGHT,46811
Idaho,Blaine,16013,4031,8919,13288,30.34%,67.12%,97.46%,LEFT,23021
Idaho,Boise,16015,3485,1204,4820,72.30%,24.98%,97.28%,RIGHT,7831
Idaho,Bonner,16017,18369,8310,27352,67.16%,30.38%,97.54%,RIGHT,45739
Idaho,Bonneville,16019,37805,14254,53995,70.02%,26.40%,96.41%,RIGHT,119062
Idaho,Boundary,16021,4937,1220,6313,78.20%,19.33%,97.53%,RIGHT,12245
Idaho,Butte,16023,1202,188,1415,84.95%,13.29%,98.23%,RIGHT,2597
Idaho,Camas,16025,507,149,754,67.24%,19.76%,87.00%,RIGHT,1106
Idaho,Canyon,16027,61759,25881,90438,68.29%,28.62%,96.91%,RIGHT,229849
Idaho,Caribou,16029,2906,431,3416,85.07%,12.62%,97.69%,RIGHT,7155
Idaho,Cassia,16031,7907,1464,9629,82.12%,15.20%,97.32%,RIGHT,24030
Idaho,Clark,16033,264,41,311,84.89%,13.18%,98.07%,RIGHT,845
Idaho,Clearwater,16035,3453,877,4419,78.14%,19.85%,97.99%,RIGHT,8756
Idaho,Custer,16037,2089,603,2739,76.27%,22.02%,98.28%,RIGHT,4315
Idaho,Elmore,16039,7246,2601,10205,71.00%,25.49%,96.49%,RIGHT,27511
Idaho,Franklin,16041,5845,657,6664,87.71%,9.86%,97.57%,RIGHT,13876
Idaho,Fremont,16043,5548,998,6719,82.57%,14.85%,97.43%,RIGHT,13099
Idaho,Gem,16045,7951,1803,9958,79.85%,18.11%,97.95%,RIGHT,18112
Idaho,Gooding,16047,4659,1256,6050,77.01%,20.76%,97.77%,RIGHT,15179
Idaho,Idaho,16049,7826,1561,9602,81.50%,16.26%,97.76%,RIGHT,16667
Idaho,Jefferson,16051,12099,1661,14173,85.37%,11.72%,97.09%,RIGHT,29871
Idaho,Jerome,16053,5734,1893,7812,73.40%,24.23%,97.63%,RIGHT,24412
Idaho,Kootenai,16055,62837,24312,89878,69.91%,27.05%,96.96%,RIGHT,165697
Idaho,Latah,16057,9472,10236,20570,46.05%,49.76%,95.81%,LEFT,40108
Idaho,Lemhi,16059,3592,1032,4738,75.81%,21.78%,97.59%,RIGHT,8027
Idaho,Lewis,16061,1489,349,1870,79.63%,18.66%,98.29%,RIGHT,3838
Idaho,Lincoln,16063,1469,414,1940,75.72%,21.34%,97.06%,RIGHT,5366
Idaho,Madison,16065,13559,2666,17112,79.24%,15.58%,94.82%,RIGHT,39907
Idaho,Minidoka,16067,6265,1550,7993,78.38%,19.39%,97.77%,RIGHT,21039
Idaho,Nez Perce,16069,13738,6686,20967,65.52%,31.89%,97.41%,RIGHT,40408
Idaho,Oneida,16071,2148,249,2451,87.64%,10.16%,97.80%,RIGHT,4531
Idaho,Owyhee,16073,3819,816,4742,80.54%,17.21%,97.74%,RIGHT,11823
Idaho,Payette,16075,8862,2161,11293,78.47%,19.14%,97.61%,RIGHT,23951
Idaho,Power,16077,2116,865,3086,68.57%,28.03%,96.60%,RIGHT,7681
Idaho,Shoshone,16079,4216,1693,6049,69.70%,27.99%,97.69%,RIGHT,12882
Idaho,Teton,16081,2858,3318,6347,45.03%,52.28%,97.31%,LEFT,12142
Idaho,Twin Falls,16083,25897,9391,36680,70.60%,25.60%,96.21%,RIGHT,86878
Idaho,Valley,16085,3947,2976,7063,55.88%,42.14%,98.02%,RIGHT,11392
Idaho,Washington,16087,4154,1073,5344,77.73%,20.08%,97.81%,RIGHT,10194
Illinois,Adams,17001,24131,8569,33434,72.18%,25.63%,97.80%,RIGHT,65435
Illinois,Alexander,17003,1486,1114,2625,56.61%,42.44%,99.05%,RIGHT,5761
Illinois,Bond,17005,5612,2275,8109,69.21%,28.06%,97.26%,RIGHT,16426
Illinois,Boone,17007,13762,10372,24672,55.78%,42.04%,97.82%,RIGHT,53544
Illinois,Brown,17009,1930,485,2523,76.50%,19.22%,95.72%,RIGHT,6578
Illinois,Bureau,17011,10296,6545,17182,59.92%,38.09%,98.02%,RIGHT,32628
Illinois,Calhoun,17013,2043,674,2767,73.83%,24.36%,98.19%,RIGHT,4739
Illinois,Carroll,17015,5098,2737,8006,63.68%,34.19%,97.86%,RIGHT,14305
Illinois,Cass,17017,3624,1615,5325,68.06%,30.33%,98.38%,RIGHT,12147
Illinois,Champaign,17019,35122,56596,94911,37.01%,59.63%,96.64%,LEFT,209689
Illinois,Christian,17021,11505,4286,16094,71.49%,26.63%,98.12%,RIGHT,32304
Illinois,Clark,17023,6215,1990,8340,74.52%,23.86%,98.38%,RIGHT,15441
Illinois,Clay,17025,5626,1129,6896,81.58%,16.37%,97.96%,RIGHT,13184
Illinois,Clinton,17027,14264,4459,19139,74.53%,23.30%,97.83%,RIGHT,37562
Illinois,Coles,17029,13981,7997,22470,62.22%,35.59%,97.81%,RIGHT,50621
Illinois,Cook,17031,558269,1725973,2321399,24.05%,74.35%,98.40%,LEFT,5150233
