13,1103192,20421,2461837,2474507,4998566,57915,210.9688768,10617423,5160424,5456999,2801689,6298780,1516954,0.76,0.60,0.33,0.01,0.04,0.02,0.10,0.06,2.71,0.87,0.31,0.09,0.16,0.62,0.13,7815734,2817168,288
15,35522,502,185282,344905,540972,6372.2,486.8693093,1415786,707999,707787,330092,817285,268409,0.79,0.26,0.02,0.11,0.38,0.24,0.11,0.07,3.02,0.92,0.33,0.07,0.05,0.62,0.09,1085694,511225,13
16,193475,2119,554118,287021,868105,82809,40.05241149,1787065,895928,891137,496173,1000222,290670,0.75,0.93,0.01,0.02,0.02,0.03,0.13,0.06,2.68,0.91,0.27,0.09,0.13,0.62,0.11,1290892,422787,61
17,1390705,25430,2439446,3461060,6019642,55593,199.1670647,12671821,6226558,6445263,3145309,7483280,2043232,0.78,0.77,0.15,0.01,0.06,0.02,0.18,0.05,2.59,0.89,0.34,0.07,0.09,0.65,0.12,9526512,3506870,161
18,751596,13710,1729446,1241774,3035088,35828,184.4395319,6732219,3320360,3411859,1755070,3891406,1085743,0.77,0.85,0.10,0.01,0.03,0.02,0.07,0.06,2.53,0.89,0.26,0.10,0.10,0.64,0.12,4977149,1942061,140
19,372333,6095,897467,758881,1688310,55861,55.11871112,3155070,1571075,1583995,816335,1785781,552954,0.77,0.91,0.04,0.01,0.03,0.02,0.06,0.06,2.41,0.92,0.28,0.08,0.06,0.67,0.11,2338735,650425,122
20,317165,5139,752903,551144,1333804,81823,50.78033844,2913314,1451697,1461617,782091,1655736,475487,0.76,0.86,0.06,0.01,0.03,0.03,0.12,0.06,2.52,0.91,0.33,0.09,0.11,0.66,0.11,2131223,797419,105
21,462901,7182,1326646,772474,2136768,39733,120.3280504,4467673,2201029,2266644,1118934,2598175,750564,0.78,0.88,0.09,0.00,0.02,0.02,0.04,0.06,2.49,0.86,0.24,0.13,0.08,0.59,0.16,3348739,1211971,136
22,475126,10638,1255776,856034,2148062,51335,122.4485127,4648794,2267050,2381744,1203265,2704507,741022,0.77,0.63,0.33,0.01,0.02,0.02,0.05,0.05,2.61,0.85,0.24,0.11,0.11,0.59,0.19,3445529,1297467,149
23,68449,843,360446,431277,816428,35383,70.3609013,1344212,658112,686100,281158,777789,285265,0.82,0.94,0.02,0.01,0.01,0.02,0.02,0.08,2.33,0.92,0.31,0.12,0.10,0.63,0.11,1063054,246626,28
24,461201,9667,976414,1985023,3016608,11811,522.4027293,6045680,2928865,3116815,1489721,3596563,959396,0.78,0.59,0.31,0.01,0.07,0.03,0.11,0.06,2.67,0.90,0.40,0.08,0.07,0.67,0.09,4555959,1539351,76
25,708579,17929,1167202,2382202,3631473,7838,1696.904472,6892503,3345568,3546935,1558231,4164940,1169332,0.80,0.81,0.09,0.01,0.07,0.03,0.12,0.05,2.53,0.90,0.43,0.08,0.04,0.67,0.09,5334272,1702799,60
26,994668,20698,2649852,2804040,5544102,96716,162.6698881,9986857,4918528,5068329,2407690,5813766,1765401,0.79,0.79,0.14,0.01,0.03,0.03,0.05,0.06,2.49,0.91,0.29,0.10,0.07,0.61,0.13,7579167,2035065,169
