state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Missouri,Cape Girardeau,29031,78871,579,136.2
Missouri,Carroll,29033,8679,695,12.5
Missouri,Carter,29035,5982,508,11.8
Missouri,Cass,29037,105780,699,151.3
Missouri,Cedar,29039,14349,476,30.1
Missouri,Chariton,29041,7426,756,9.8
Missouri,Christian,29043,88595,563,157.4
Missouri,Clark,29045,6797,507,13.4
Missouri,Clay,29047,249948,396,631.2
Missouri,Clinton,29049,20387,419,48.7
Missouri,Cole,29051,76745,392,195.8
Missouri,Cooper,29053,17709,565,31.3
Missouri,Crawford,29055,23920,743,32.2
Missouri,Dade,29057,7561,490,15.4
Missouri,Dallas,29059,16878,542,31.1
Missouri,Daviess,29061,8278,567,14.6
Missouri,DeKalb,29063,12547,424,29.6
Missouri,Dent,29065,15573,754,20.7
Missouri,Douglas,29067,13185,815,16.2
Missouri,Dunklin,29069,29131,546,53.4
Missouri,Franklin,29071,103967,922,112.8
Missouri,Gasconade,29073,14706,520,28.3
Missouri,Gentry,29075,6571,492,13.4
Missouri,Greene,29077,293086,675,434.2
Missouri,Grundy,29079,9850,436,22.6
Missouri,Harrison,29081,8352,725,11.5
Missouri,Henry,29083,21824,702,31.1
Missouri,Hickory,29085,9544,399,23.9
Missouri,Holt,29087,4403,462,9.5
Missouri,Howard,29089,10001,466,21.5
Missouri,Howell,29091,40117,928,43.2
Missouri,Iron,29093,10125,551,18.4
Missouri,Jackson,29095,703011,605,1162
Missouri,Jasper,29097,121328,640,189.6
Missouri,Jefferson,29099,225081,657,342.6
Missouri,Johnson,29101,54062,831,65.1
Missouri,Knox,29103,3959,506,7.8
Missouri,Laclede,29105,35723,766,46.6
Missouri,Lafayette,29107,32708,629,52
Missouri,Lawrence,29109,38355,613,62.6
Missouri,Lewis,29111,9776,505,19.4
Missouri,Lincoln,29113,59013,630,93.7
Missouri,Linn,29115,11920,620,19.2
Missouri,Livingston,29117,15227,535,28.5
Missouri,McDonald,29119,22837,540,42.3
Missouri,Macon,29121,15117,804,18.8
Missouri,Madison,29123,12088,497,24.3
Missouri,Maries,29125,8697,528,16.5
Missouri,Marion,29127,28530,438,65.1
Missouri,Mercer,29129,3617,454,8
Missouri,Miller,29131,25619,592,43.3
Missouri,Mississippi,29133,13180,413,31.9
Missouri,Moniteau,29135,16132,417,38.7
Missouri,Monroe,29137,8644,646,13.4
Missouri,Montgomery,29139,11551,539,21.4
Missouri,Morgan,29141,20627,598,34.5
Missouri,New Madrid,29143,17076,678,25.2
Missouri,Newton,29145,58236,626,93
Missouri,Nodaway,29147,22092,877,25.2
Missouri,Oregon,29149,10529,792,13.3
Missouri,Osage,29151,13615,606,22.5
Missouri,Ozark,29153,9174,747,12.3
Missouri,Pemiscot,29155,15805,493,32.1
Missouri,Perry,29157,19136,475,40.3
Missouri,Pettis,29159,42339,685,61.8
Missouri,Phelps,29161,44573,673,66.2
Missouri,Pike,29163,18302,673,27.2
Missouri,Platte,29165,104418,420,248.6
Missouri,Polk,29167,32149,637,50.5
Missouri,Pulaski,29169,52607,547,96.2
Missouri,Putnam,29171,4696,518,9.1
Missouri,Ralls,29173,10309,471,21.9
Missouri,Randolph,29175,24748,482,51.3
Missouri,Ray,29177,23018,570,40.4
Missouri,Reynolds,29179,6270,811,7.7
Missouri,Ripley,29181,13288,630,21.1
Missouri,St. Charles,29183,402022,561,716.6
Missouri,St. Clair,29185,9397,677,13.9
Missouri,Ste. Genevieve,29186,17894,450,39.8
Missouri,St. Francois,29187,67215,508,132.3
Missouri,St. Louis,29189,994205,502,1980.5
Missouri,Saline,29195,22761,756,30.1
Missouri,Schuyler,29197,4660,308,15.1
Missouri,Scotland,29199,4902,438,11.2
Missouri,Scott,29201,38280,421,90.9
Missouri,Shannon,29203,8166,1004,8.1
Missouri,Shelby,29205,5930,501,11.8
Missouri,Stoddard,29207,29025,827,35.1
Missouri,Stone,29209,31952,463,69
Missouri,Sullivan,29211,6089,651,9.4
Missouri,Taney,29213,55928,632,88.5
Missouri,Texas,29215,25398,1179,21.5
Missouri,Vernon,29217,20563,834,24.7
Missouri,Warren,29219,35649,432,82.5
Missouri,Washington,29221,24730,760,32.5
Missouri,Wayne,29223,12873,761,16.9
Missouri,Webster,29225,39592,593,66.8
Missouri,Worth,29227,2013,266,7.6
Missouri,Wright,29229,18289,628,29.1
Missouri,St. Louis city,29510,300576,61.9,4855.8
Montana,Beaverhead,30001,9453,5543,1.7
Montana,Big Horn,30003,13319,4995,2.7
Montana,Blaine,30005,6681,4226,1.6
Montana,Broadwater,30007,6237,1192,5.2
Montana,Carbon,30009,10725,2048,5.2
Montana,Carter,30011,1252,3340,0.4
Montana,Cascade,30013,81366,2698,30.2
Montana,Chouteau,30015,5635,3973,1.4
Montana,Custer,30017,11402,3783,3
Montana,Daniels,30019,1690,1426,1.2
Montana,Dawson,30021,8613,2373,3.6
Montana,Deer Lodge,30023,9140,737,12.4
Montana,Fallon,30025,2846,1620,1.8
Montana,Fergus,30027,11050,4339,2.5
Montana,Flathead,30029,103806,5099,20.4
Montana,Gallatin,30031,114434,2507,45.6
Montana,Garfield,30033,1258,4668,0.3
Montana,Glacier,30035,13753,2995,4.6
Montana,Golden Valley,30037,821,1175,0.7
Montana,Granite,30039,3379,1728,2
Montana,Hill,30041,16484,2896,5.7
Montana,Jefferson,30043,12221,1657,7.4
Montana,Judith Basin,30045,2007,1870,1.1
Montana,Lake,30047,30458,1494,20.4
Montana,Lewis and Clark,30049,69432,3461,20.1
Montana,Liberty,30051,2337,1430,1.6
Montana,Lincoln,30053,19980,3613,5.5
Montana,McCone,30055,1664,2643,0.6
Montana,Madison,30057,8600,3587,2.4
Montana,Meagher,30059,1862,2392,0.8
Montana,Mineral,30061,4397,1220,3.6
Montana,Missoula,30063,119600,2598,46
Montana,Musselshell,30065,4633,1867,2.5
Montana,Park,30067,16606,2656,6.3
Montana,Petroleum,30069,487,1654,0.3
Montana,Phillips,30071,3954,5140,0.8
Montana,Pondera,30073,5911,1625,3.6
Montana,Powder River,30075,1682,3297,0.5
Montana,Powell,30077,6890,2326,3
Montana,Prairie,30079,1077,1737,0.6
Montana,Ravalli,30081,43806,2394,18.3
Montana,Richland,30083,10803,2084,5.2
Montana,Roosevelt,30085,11004,2356,4.7
Montana,Rosebud,30087,8937,5012,1.8
Montana,Sanders,30089,12113,2762,4.4
Montana,Sheridan,30091,3309,1677,2
Montana,Silver Bow,30093,34915,718,48.6
Montana,Stillwater,30095,9642,1795,5.4
Montana,Sweet Grass,30097,3737,1855,2
Montana,Teton,30099,6147,2273,2.7
Montana,Toole,30101,4736,1911,2.5
Montana,Treasure,30103,696,979,0.7
Montana,Valley,30105,7396,4921,1.5
Montana,Wheatland,30107,2126,1423,1.5
Montana,Wibaux,30109,969,889,1.1
Montana,Yellowstone,30111,161300,2635,61.2
Nebraska,Adams,31001,31363,563,55.7
Nebraska,Antelope,31003,6298,857,7.3
Nebraska,Arthur,31005,463,715,0.6
Nebraska,Banner,31007,745,746,1
Nebraska,Blaine,31009,465,711,0.7
Nebraska,Boone,31011,5192,687,7.6
Nebraska,Box Butte,31013,10783,1075,10
Nebraska,Boyd,31015,1919,540,3.6
Nebraska,Brown,31017,2955,1221,2.4
Nebraska,Buffalo,31019,49659,968,51.3
Nebraska,Burt,31021,6459,493,13.1
Nebraska,Butler,31023,8016,584,13.7
Nebraska,Cass,31025,26248,559,47
Nebraska,Cedar,31027,8402,740,11.4
Nebraska,Chase,31029,3924,894,4.4
Nebraska,Cherry,31031,5689,5961,1
Nebraska,Cheyenne,31033,8910,1196,7.4
Nebraska,Clay,31035,6203,573,10.8
Nebraska,Colfax,31037,10709,413,25.9
Nebraska,Cuming,31039,8846,572,15.5
Nebraska,Custer,31041,10777,2576,4.2
Nebraska,Dakota,31043,20026,264,75.9
Nebraska,Dawes,31045,8589,1396,6.2
Nebraska,Dawson,31047,23595,1013,23.3
Nebraska,Deuel,31049,1794,440,4.1
Nebraska,Dixon,31051,5636,476,11.8
Nebraska,Dodge,31053,36565,534,68.5
Nebraska,Douglas,31055,571327,331,1726.1
Nebraska,Dundy,31057,1693,920,1.8
Nebraska,Fillmore,31059,5462,576,9.5
Nebraska,Franklin,31061,2979,576,5.2
Nebraska,Frontier,31063,2627,975,2.7
Nebraska,Furnas,31065,4676,718,6.5
Nebraska,Gage,31067,21513,855,25.2
Nebraska,Garden,31069,1837,1705,1.1
Nebraska,Garfield,31071,1969,570,3.5
Nebraska,Gosper,31073,1990,458,4.3
Nebraska,Grant,31075,623,776,0.8
Nebraska,Greeley,31077,2356,570,4.1
Nebraska,Hall,31079,61353,546,112.4
Nebraska,Hamilton,31081,9324,544,17.1
Nebraska,Harlan,31083,3380,553,6.1
Nebraska,Hayes,31085,922,713,1.3
Nebraska,Hitchcock,31087,2762,710,3.9
Nebraska,Holt,31089,10067,2413,4.2
Nebraska,Hooker,31091,682,721,0.9
Nebraska,Howard,31093,6445,570,11.3
Nebraska,Jefferson,31095,7046,573,12.3
Nebraska,Johnson,31097,5071,376,13.5
Nebraska,Kearney,31099,6495,516,12.6
Nebraska,Keith,31101,8034,1061,7.6
Nebraska,Keya Paha,31103,806,773,1
Nebraska,Kimball,31105,3632,952,3.8
Nebraska,Knox,31107,8332,1108,7.5
Nebraska,Lancaster,31109,319090,839,380.3
Nebraska,Lincoln,31111,34914,2564,13.6
Nebraska,Logan,31113,748,571,1.3
Nebraska,Loup,31115,664,570,1.2
Nebraska,McPherson,31117,494,573,0.9
Nebraska,Madison,31119,35099,859,40.9
Nebraska,Merrick,31121,7755,485,16
Nebraska,Morrill,31123,4642,1424,3.3
Nebraska,Nance,31125,3519,441,8
Nebraska,Nemaha,31127,6972,409,17
Nebraska,Nuckolls,31129,4148,575,7.2
Nebraska,Otoe,31131,16012,616,26
Nebraska,Pawnee,31133,2613,432,6
Nebraska,Perkins,31135,2891,883,3.3
Nebraska,Phelps,31137,9034,540,16.7
Nebraska,Pierce,31139,7148,574,12.5
Nebraska,Platte,31141,33470,678,49.4
Nebraska,Polk,31143,5213,439,11.9
Nebraska,Red Willow,31145,10724,717,15
Nebraska,Richardson,31147,7865,554,14.2
Nebraska,Rock,31149,1357,1008,1.3
Nebraska,Saline,31151,14224,575,24.7
Nebraska,Sarpy,31153,187196,241,776.7
Nebraska,Saunders,31155,21578,754,28.6
Nebraska,Scotts Bluff,31157,35618,739,48.2
Nebraska,Seward,31159,17284,575,30.1
Nebraska,Sheridan,31161,5246,2441,2.1
Nebraska,Sherman,31163,3001,566,5.3
Nebraska,Sioux,31165,1166,1313,0.9
Nebraska,Stanton,31167,5920,430,13.8
Nebraska,Thayer,31169,5003,575,8.7
Nebraska,Thomas,31171,722,713,1
Nebraska,Thurston,31173,7224,394,18.3
Nebraska,Valley,31175,4158,568,7.3
Nebraska,Washington,31177,20729,390,53.2
Nebraska,Wayne,31179,9385,444,21.1
