SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,UNDER 19 ALL,UNDER 19 F,UNDER 19 M,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,TOT 20-64 POP,F 20-64 POP ,M 20-64 POP ,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,1,1031,Alabama,Coffee County,2019,52342,25742,26600,3195,1676,1519,6333,3220,3113,2866,1442,1424,4205,2226,1979,41396,20130,21266,39948,19404,20544,19629,9970,9659,13302,6675,6627,13410,6562,6848,9031,3941,5090,3195,1676,1519,3426,1754,1672,3651,1839,1812,3300,1699,1601,13572,6604,6968,3027,1596,1431,3301,1660,1641,3280,1663,1617,3432,1693,1739,3289,1659,1630,3519,1750,1769,3334,1641,1693,3292,1681,1611,3265,1490,1775,29739,14906,14833,2796,1309,1487,2508,1178,1330,1621,679,942,1125,447,678,981,328,653,39.4,37.9,40.8
50,1,1033,Alabama,Colbert County,2019,55241,26408,28833,3133,1559,1574,5885,2952,2933,2537,1262,1275,4209,2117,2092,44976,21275,23701,43686,20635,23051,19673,9710,9963,13563,6642,6921,14849,7077,7772,11065,4799,6266,3133,1559,1574,3202,1607,1595,3319,1656,1663,3032,1533,1499,12686,6331,6355,3078,1535,1543,3814,1912,1902,3371,1656,1715,3238,1553,1685,3140,1521,1619,3465,1639,1826,3623,1759,1864,3900,1868,2032,3861,1811,2050,31490,16236,15254,3414,1582,1832,2825,1263,1562,2148,906,1242,1414,564,850,1264,484,780,42.3,40.7,43.8
50,1,1035,Alabama,Conecuh County,2019,12067,5758,6309,640,304,336,1288,628,660,546,281,265,890,459,431,9877,4685,5192,9593,4545,5048,3902,1901,2001,2585,1227,1358,3286,1557,1729,2832,1302,1530,640,304,336,720,346,374,687,348,339,681,344,337,2728,1386,1342,636,330,306,696,337,359,622,315,307,632,289,343,635,286,349,685,296,389,755,368,387,917,438,479,929,455,474,6507,3393,3114,790,366,424,812,393,419,538,244,294,375,170,205,317,129,188,45.6,44.7,46.4
50,1,1037,Alabama,Coosa County,2019,10663,5335,5328,463,232,231,866,457,409,418,215,203,701,360,341,9123,4542,4581,8916,4431,4485,3190,1654,1536,2186,1134,1052,3461,1721,1740,2568,1216,1352,463,232,231,464,255,209,517,257,260,478,251,227,1922,927,995,526,269,257,598,341,257,509,257,252,508,250,258,571,286,285,775,361,414,780,399,381,935,449,486,971,512,459,6173,3049,3124,805,408,397,676,304,372,511,261,250,302,137,165,274,106,168,49.5,48.9,50.2
50,1,1039,Alabama,Covington County,2019,37049,17927,19122,2199,1113,1086,4081,2108,1973,1882,970,912,2586,1301,1285,29804,14210,15594,28887,13736,15151,12366,6134,6232,8385,4101,4284,9996,4893,5103,7920,3441,4479,2199,1113,1086,2291,1189,1102,2277,1157,1120,2104,1095,1009,8871,4317,4554,1877,938,939,2281,1182,1099,2067,994,1073,2056,969,1087,1981,956,1025,2235,1119,1116,2300,1117,1183,2710,1313,1397,2751,1344,1407,20258,10326,9932,2280,1083,1197,2105,988,1117,1519,671,848,1035,385,650,981,314,667,43.4,41.6,45.1
50,1,1041,Alabama,Crenshaw County,2019,13772,6685,7087,791,409,382,1603,833,770,742,405,337,1040,515,525,11008,5240,5768,10636,5038,5598,4787,2384,2403,3178,1555,1623,3747,1821,1926,2671,1147,1524,791,409,382,887,484,403,889,440,449,859,464,395,3426,1629,1797,750,365,385,867,419,448,778,379,399,759,364,395,774,393,381,890,417,473,858,391,467,1005,514,491,994,499,495,7675,3934,3741,833,385,448,784,338,446,443,212,231,303,114,189,308,98,210,42,40.2,43.9
50,1,1043,Alabama,Cullman County,2019,83768,41408,42360,5176,2614,2562,9371,4751,4620,4265,2197,2068,6395,3290,3105,67098,32926,34172,64956,31846,33110,30422,15452,14970,20819,10507,10312,22007,10991,11016,15735,7058,8677,5176,2614,2562,5215,2611,2604,5213,2682,2531,5000,2585,2415,20604,10112,10492,4603,2360,2243,5633,2837,2796,5185,2684,2501,4909,2416,2493,5092,2570,2522,5248,2603,2645,5362,2757,2605,5805,2892,2913,5592,2739,2853,47429,23571,23858,4931,2318,2613,4339,2005,2334,3024,1364,1660,2009,821,1188,1432,550,882,40.9,39.8,42.1
50,1,1045,Alabama,Dale County,2019,49172,24214,24958,3273,1649,1624,5555,2918,2637,2360,1215,1145,4297,2293,2004,39172,19040,20132,37984,18432,19552,18993,9628,9365,12921,6429,6492,12264,5902,6362,8502,3808,4694,3273,1649,1624,3133,1651,1482,3007,1576,1431,2908,1505,1403,12321,5940,6381,3164,1694,1470,3773,1994,1779,3514,1739,1775,2967,1442,1525,2667,1254,1413,2957,1414,1543,2894,1407,1487,3228,1554,1674,3185,1527,1658,28349,14324,14025,2650,1298,1352,2259,1034,1225,1608,703,905,1048,407,641,937,366,571,38.1,36,40
50,1,1047,Alabama,Dallas County,2019,37196,17178,20018,2202,1113,1089,4470,2229,2241,2003,1080,923,3253,1579,1674,29503,13267,16236,28521,12756,15765,13162,6168,6994,8395,3782,4613,9852,4445,5407,7021,2950,4071,2202,1113,1089,2313,1152,1161,2646,1350,1296,2532,1315,1217,9693,4763,4930,2235,1071,1164,2278,1042,1236,2031,936,1095,2077,914,1163,2009,890,1119,2112,929,1183,2222,1006,1216,2747,1240,1507,2771,1270,1501,20482,11184,9298,2300,1050,1250,1898,855,1043,1223,521,702,880,323,557,720,201,519,40.7,38.3,42.6
50,1,1049,Alabama,DeKalb County,2019,71513,35577,35936,4269,2213,2056,8729,4497,4232,4123,2144,1979,5867,3086,2781,56420,27779,28641,54392,26723,27669,26143,13383,12760,17199,8674,8525,18725,9293,9432,12601,5670,6931,4269,2213,2056,4656,2398,2258,5119,2620,2499,4799,2554,2245,18843,9058,9785,4145,2155,1990,4606,2363,2243,3920,2014,1906,4176,2055,2121,4497,2242,2255,4783,2406,2377,4602,2293,2309,4767,2358,2409,4573,2236,2337,40069,19947,20122,3972,1901,2071,3540,1670,1870,2368,1087,1281,1480,589,891,1241,423,818,40.1,38.7,41.4
