state,state code,cases (as of 06/21),deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,Lean,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,"Persons 19 and over, percent","White alone, percent","Black or African American alone, percent",Native american or native hawaiian / pacific islander / alaska native / other,"Asian alone, percent","Two or More Races, percent","Hispanic or Latino, percent","Vetran, percent",Persons per household,"High school graduate or higher, percent of persons age 25 years+ ","Bachelor's degree or higher, percent of persons age 25 years+ ","With a disability, under age 65 years, percent ",Persons  without health insurance,"In civilian labor force, total, percent of population age 16 years+, 2014-2018","Persons in poverty, percent",voting age,total votes,missing voters,land area (sq/mi),pop/sqmi,total facilities
Washington,53,444852,5846,1584588,2369437,4060294,39.03%,58.36%,97.38%,LEFT,66457,147.4266197,7614893,3811983,3802910,1840306,898251,942055,4564864,2247213,2317651,1209723,552277,657446,78.20%,78.50%,4.40%,2.70%,9.60%,4.90%,13.00%,7.06%,2.55,91.10%,35.30%,8.80%,7.70%,63.50%,9.80%,5774587,4060294,1714293,66457,114.58,108
Nevada,32,326878,5621,669890,703486,1405376,47.67%,50.06%,97.72%,LEFT,109818,149.0885418,3080156,1544827,1535329,760272,370882,389390,1823912,902001,921911,495972,233526,262446,77.50%,73.90%,10.30%,2.50%,8.70%,4.60%,29.20%,6.78%,2.68,86.30%,24.20%,8.90%,13.40%,63.40%,12.50%,2319884,1405376,914508,109818,28.05,43
Kansas,20,317165,5139,752903,551144,1333804,56.45%,41.32%,97.77%,RIGHT,81823,50.78033844,2913314,1451697,1461617,782091,380848,401243,1655736,819198,836538,475487,213916,261571,76.00%,86.30%,6.10%,1.30%,3.20%,3.10%,12.20%,6.23%,2.52,90.70%,32.90%,9.00%,10.90%,65.70%,11.40%,2131223,1333804,797419,81823,35.61,105
New Mexico,35,203919,4297,401894,501614,923965,43.50%,54.29%,97.79%,LEFT,121341,36.72377209,2096829,1037432,1059397,531712,260844,270868,1187511,593137,594374,377606,172190,205416,77.30%,81.90%,2.60%,11.20%,1.80%,2.60%,49.30%,7.07%,2.64,85.30%,27.10%,10.30%,12.00%,57.40%,18.20%,1565117,923965,641152,121341,17.28,61
West Virginia,54,162845,2848,545382,235984,794652,68.63%,29.70%,98.33%,RIGHT,24088,93.99486887,1792147,887770,904377,402473,195536,206937,1022663,509222,513441,367011,167392,199619,79.90%,93.50%,3.60%,0.30%,0.80%,1.80%,1.70%,7.51%,2.42,86.50%,20.30%,14.10%,8.30%,53.10%,16.00%,1389674,794652,595022,24088,74.4,83
Oregon,41,204317,2751,966627,1346141,2385605,40.52%,56.43%,96.95%,LEFT,95804,121.9570004,4217737,2090727,2127010,965480,470984,494496,2486177,1241063,1245114,766080,351117,414963,79.50%,86.70%,2.20%,2.30%,4.90%,4.00%,13.40%,6.84%,2.51,90.40%,32.90%,10.10%,8.60%,62.10%,11.40%,3252257,2385605,866652,95804,44.02,61
Rhode Island,44,152187,2722,199837,306210,513627,38.91%,59.62%,98.52%,LEFT,1032,1149.296778,1059361,515675,543686,238543,117419,121124,633772,320618,313154,187046,81397,105649,80.70%,83.60%,8.50%,1.30%,3.70%,2.90%,16.30%,5.43%,2.47,88.00%,33.30%,9.80%,4.80%,64.40%,10.80%,820818,513627,307191,1032,1026.51,17
Puerto Rico,72,181646,2625,406830,389896,1243712,32.71%,31.35%,64.06%,RIGHT,3424.84,1076.455238,3193694,1515721,1677973,659523,323719,335804,1854515,969848,884667,679656,295250,384406,82.10%,67.40%,10.80%,0.30%,0.20%,5.20%,98.90%,2.52%,2.78,75.50%,25.30%,15.10%,9.60%,44.30%,43.50%,2534171,1243712,1290459,3425.3,932.38,34
Nebraska,31,223749,2516,556846,374583,952271,58.48%,39.34%,97.81%,RIGHT,76121,45.24403612,1934408,966449,967959,529821,258397,271424,1092129,537957,554172,312458,140853,171605,75.40%,88.10%,5.20%,1.60%,2.70%,2.30%,11.40%,6.22%,2.46,91.10%,31.30%,7.70%,9.80%,69.50%,9.90%,1404587,952271,452316,76121,25.41,73
Utah,49,408812,2319,865140,560282,1488289,58.13%,37.65%,95.78%,RIGHT,82170,134.3886466,3205958,1614917,1591041,1028611,501431,527180,1811475,894271,917204,365872,170533,195339,71.00%,90.60%,1.50%,2.70%,2.70%,2.60%,14.40%,3.85%,3.13,92.00%,33.30%,6.80%,10.80%,67.90%,8.90%,2177347,1488289,689058,82170,39.02,46
Idaho,16,193475,2119,554118,287021,868105,63.83%,33.06%,96.89%,RIGHT,82809,40.05241149,1787065,895928,891137,496173,242971,253202,1000222,495370,504852,290670,137874,152796,74.90%,93.00%,0.90%,1.90%,1.60%,2.60%,12.80%,6.44%,2.68,90.60%,26.90%,9.30%,12.80%,62.10%,11.20%,1290892,868105,422787,82809,21.58,61
South Dakota,46,124335,2026,261043,150471,422609,61.77%,35.61%,97.37%,RIGHT,75896,15.16553936,884659,446757,437902,240567,116988,123579,492221,239709,252512,151871,70666,81205,75.50%,84.60%,2.30%,9.10%,1.50%,2.50%,4.20%,6.70%,2.43,91.70%,28.50%,8.10%,12.20%,68.10%,11.90%,6440920,2935938,3504982,75896,11.66,44
