state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Pennsylvania,McKean,42083,40625,9203,23275,8147,31422
Pennsylvania,Mercer,42085,109424,24129,60972,24323,85295
Pennsylvania,Mifflin,42087,46138,11173,24784,10181,34965
Pennsylvania,Monroe,42089,170271,38823,101101,30347,131448
Pennsylvania,Montgomery,42091,830915,197528,482413,150974,633387
Pennsylvania,Montour,42093,18230,4080,10227,3923,14150
Pennsylvania,Northampton,42095,305285,69905,175755,59625,235380
Pennsylvania,Northumberland,42097,90843,19421,51616,19806,71422
Pennsylvania,Perry,42099,46272,10769,26697,8806,35503
Pennsylvania,Philadelphia,42101,1584064,386100,976286,221678,1197964
Pennsylvania,Pike,42103,55809,10896,31802,13111,44913
Pennsylvania,Potter,42105,16526,3666,8817,4043,12860
Pennsylvania,Schuylkill,42107,141359,30466,81571,29322,110893
Pennsylvania,Snyder,42109,40372,10075,22414,7883,30297
Pennsylvania,Somerset,42111,73447,14341,42230,16876,59106
Pennsylvania,Sullivan,42113,6066,803,3502,1761,5263
Pennsylvania,Susquehanna,42115,40328,8203,22330,9795,32125
Pennsylvania,Tioga,42117,40591,9171,22265,9155,31420
Pennsylvania,Union,42119,44923,10135,26447,8341,34788
Pennsylvania,Venango,42121,50668,10704,28263,11701,39964
Pennsylvania,Warren,42123,39191,8336,21639,9216,30855
Pennsylvania,Washington,42125,206865,45271,118053,43541,161594
Pennsylvania,Wayne,42127,51361,9296,29442,12623,42065
Pennsylvania,Westmoreland,42129,348899,70766,196870,81263,278133
Pennsylvania,Wyoming,42131,26794,5851,15081,5862,20943
Pennsylvania,York,42133,449058,109185,259246,80627,339873
Rhode Island,Bristol,44001,48479,10898,27786,9795,37581
Rhode Island,Kent,44003,164292,33588,98882,31822,130704
Rhode Island,Newport,44005,82082,16097,47298,18687,65985
Rhode Island,Providence,44007,638931,151517,387631,99783,487414
Rhode Island,Washington,44009,125577,26443,72175,26959,99134
South Carolina,Abbeville,45001,24527,5578,13466,5483,18949
South Carolina,Aiken,45003,170872,40516,96364,33992,130356
South Carolina,Allendale,45005,8688,1828,5042,1818,6860
South Carolina,Anderson,45007,202558,50879,114553,37126,151679
South Carolina,Bamberg,45009,14066,3276,7638,3152,10790
South Carolina,Barnwell,45011,20866,5431,11491,3944,15435
South Carolina,Beaufort,45013,192122,40343,97971,53808,151779
South Carolina,Berkeley,45015,227907,60170,135461,32276,167737
South Carolina,Calhoun,45017,14553,3008,8062,3483,11545
South Carolina,Charleston,45019,411406,90454,251126,69826,320952
South Carolina,Cherokee,45021,57300,14743,32751,9806,42557
South Carolina,Chester,45023,32244,7893,18167,6184,24351
South Carolina,Chesterfield,45025,45650,10997,25968,8685,34653
South Carolina,Clarendon,45027,33745,7203,18384,8158,26542
South Carolina,Colleton,45029,37677,9268,20606,7803,28409
South Carolina,Darlington,45031,66618,16376,37251,12991,50242
South Carolina,Dillon,45033,30479,8405,16846,5228,22074
