ccps,cdps,vgop,vdem,tvps,laps,ppss,tpop,mpop,fpop,popk,popm,popo,ppos,ppws,ppbs,ppns,ppas,ppms,ppls,ppvs,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
110382,1548,235595,114902,361819,68994,9.38429165,762062,390032,372030,200777,441440,119845,0.764,0.869,0.034,0.057,0.017,0.023,0.041,0.0611,2.31,0.925,0.295,0.071,0.081,0.692,0.106,561285,199466,32
1106064,20021,3153336,2678501,5929361,40956.51,293.4570256,11689100,5730562,5958538,2886873,6755907,2046320,0.779,0.817,0.131,0.004,0.025,0.024,0.04,0.0624,2.43,0.901,0.278,0.101,0.078,0.631,0.131,8802227,2872866,174
454216,7325,1020280,503890,1560699,68678,72.75148689,3956971,1960658,1996313,1058495,2263344,635132,0.759,0.74,0.078,0.096,0.024,0.063,0.111,0.0692,2.58,0.878,0.252,0.115,0.168,0.607,0.152,2898476,1337777,145
204317,2751,966627,1346141,2385605,95804,121.9570004,4217737,2090727,2127010,965480,2486177,766080,0.795,0.867,0.022,0.023,0.049,0.04,0.134,0.0684,2.51,0.904,0.329,0.101,0.086,0.621,0.114,3252257,866652,61
1212155,27493,3377674,3458229,6921699,45289,459.3644323,12801989,6274361,6527628,2977542,7431085,2393362,0.794,0.816,0.12,0.005,0.038,0.021,0.078,0.0611,2.46,0.902,0.308,0.098,0.07,0.626,0.12,9824447,2902748,154
181646,2625,406830,389896,1243712,3424.84,1076.455238,3193694,1515721,1677973,659523,1854515,679656,0.821,0.674,0.108,0.003,0.002,0.052,0.989,0.0252,2.78,0.755,0.253,0.151,0.096,0.443,0.435,2534171,1290459,17
152187,2722,199837,306210,513627,1032,1149.296778,1059361,515675,543686,238543,633772,187046,0.807,0.836,0.085,0.013,0.037,0.029,0.163,0.0543,2.47,0.88,0.333,0.098,0.048,0.644,0.108,820818,307191,88
594659,9761,1385103,1091541,2513329,31452.55,148.0085505,5148714,2493139,2655575,1247839,2963852,937023,0.784,0.686,0.27,0.006,0.018,0.02,0.06,0.0713,2.54,0.871,0.274,0.104,0.132,0.597,0.138,3900875,1387546,44
124335,2026,261043,150471,422609,75896,15.16553936,884659,446757,437902,240567,492221,151871,0.755,0.846,0.023,0.091,0.015,0.025,0.042,0.067,2.43,0.917,0.285,0.081,0.122,0.681,0.119,6440920,3504982,153
850276,12396,1849820,1139376,3049514,41191,151.1872723,6829174,3332239,3496935,1677566,4008215,1143393,0.779,0.784,0.171,0.006,0.02,0.02,0.057,0.0637,2.53,0.87,0.266,0.111,0.121,0.609,0.139,5151608,2102094,551
2969114,52019,5891792,5261061,11323985,261962,119.6739278,28995881,14402702,14593179,8210585,17051067,3734229,0.745,0.787,0.129,0.011,0.052,0.021,0.397,0.0508,2.86,0.832,0.293,0.079,0.208,0.642,0.136,20785296,9461311,46
408812,2319,865140,560282,1488289,82170,134.3886466,3205958,1614917,1591041,1028611,1811475,365872,0.71,0.906,0.015,0.027,0.027,0.026,0.144,0.0385,3.13,0.92,0.333,0.068,0.108,0.679,0.089,2177347,689058,9
24314,256,112704,242820,367428,9250,72.65639191,623989,308316,315673,134415,364535,125039,0.817,0.942,0.014,0.004,0.019,0.02,0.02,0.0619,2.31,0.926,0.373,0.105,0.056,0.657,0.102,489574,122146,166
