State,FIPS,total facilities
Kentucky,21099,1
Kentucky,21101,1
Kentucky,21105,1
Kentucky,21107,1
Kentucky,21109,1
Kentucky,21111,6
Kentucky,21113,1
Kentucky,21115,1
Kentucky,21117,1
Kentucky,21121,1
Kentucky,21123,1
Kentucky,21125,1
Kentucky,21129,2
Kentucky,21131,1
Kentucky,21133,1
Kentucky,21135,1
Kentucky,21137,1
Kentucky,21141,1
Kentucky,21143,2
Kentucky,21145,2
Kentucky,21147,3
Kentucky,21151,2
Kentucky,21155,2
Kentucky,21157,1
Kentucky,21159,2
Kentucky,21161,1
Kentucky,21163,1
Kentucky,21167,1
Kentucky,21171,1
Kentucky,21173,1
Kentucky,21175,1
Kentucky,21177,2
Kentucky,21179,1
Kentucky,21183,1
Kentucky,21185,6
Kentucky,21193,1
Kentucky,21195,1
Kentucky,21197,1
Kentucky,21199,1
Kentucky,21203,1
Kentucky,21205,1
Kentucky,21207,1
Kentucky,21209,2
Kentucky,21211,2
Kentucky,21213,1
Kentucky,21217,1
Kentucky,21219,1
Kentucky,21225,1
Kentucky,21227,1
Kentucky,21231,1
Kentucky,21233,1
Kentucky,21235,1
Kentucky,21239,1
Louisiana,22001,4
Louisiana,22003,9
Louisiana,22005,1
Louisiana,22007,1
Louisiana,22009,7
Louisiana,22011,2
Louisiana,22013,1
Louisiana,22015,3
Louisiana,22017,4
Louisiana,22019,3
Louisiana,22021,2
Louisiana,22025,2
Louisiana,22027,1
Louisiana,22029,3
Louisiana,22031,1
Louisiana,22033,3
Louisiana,22035,3
Louisiana,22037,3
Louisiana,22039,3
Louisiana,22041,2
Louisiana,22043,4
Louisiana,22045,1
Louisiana,22047,2
Louisiana,22049,1
Louisiana,22051,1
Louisiana,22053,2
Louisiana,22055,1
Louisiana,22057,2
Louisiana,22059,4
Louisiana,22061,2
Louisiana,22063,1
Louisiana,22065,3
Louisiana,22067,3
Louisiana,22069,1
Louisiana,22071,5
Louisiana,22073,5
Louisiana,22075,1
Louisiana,22079,5
Louisiana,22081,1
Louisiana,22083,1
Louisiana,22085,2
Louisiana,22087,1
Louisiana,22089,1
Louisiana,22091,1
Louisiana,22093,1
Louisiana,22095,3
Louisiana,22097,3
Louisiana,22099,2
Louisiana,22101,6
Louisiana,22103,1
Louisiana,22105,2
Louisiana,22107,1
Louisiana,22109,1
Louisiana,22111,1
Louisiana,22115,2
Louisiana,22117,4
Louisiana,22119,3
Louisiana,22121,1
Louisiana,22123,1
Louisiana,22125,3
Louisiana,22127,5
Maine,23001,1
Maine,23003,1
Maine,23005,5
Maine,23007,1
Maine,23009,1
Maine,23011,2
Maine,23013,5
Maine,23015,1
Maine,23019,4
Maine,23021,1
Maine,23023,1
Maine,23025,1
Maine,23027,1
Maine,23029,2
Maine,23031,1
Maryland,24001,8
Maryland,24003,5
Maryland,24005,9
Maryland,24009,1
Maryland,24011,1
Maryland,24013,3
Maryland,24015,3
Maryland,24017,2
Maryland,24019,2
Maryland,24021,1
Maryland,24023,1
Maryland,24025,1
Maryland,24027,4
Maryland,24029,1
Maryland,24031,3
Maryland,24033,3
Maryland,24035,2
Maryland,24037,2
Maryland,24039,4
Maryland,24041,1
Maryland,24043,6
Maryland,24045,2
Maryland,24047,6
