,percent_of_population_age_19up,percent_of_population_anglosaxon_decent,percent_of_population_african_decent,percent_of_population_native_hawaiian_islander_other_decent,percent_of_population_asian_decent,percent_of_population_mixed_decent,percent_of_population_hispanic_latino_decent,percent_of_population_vetrans,percent_of_population_with_HS_education,percent_of_population_with_bachelors_degree_or_higher,percent_of_population_with_disability_age_19to64,percent_of_population_with_without_health_insurance,percent_of_population_age_16up_in_civilian_labor_force,percent_of_population_in_poverty,percent_of_total_overall_population,percent_of_land_area,,voting_age_population,percent_of_overall_correctional_facilities,,,total_male_population,,total_female_population,,age_0to19_total,,age_0to19_female,,age_0to19_male,,age_20to64_total,,age_20to64_female,,age_20to64_male,,age_65up_total,,age_65up_male,,age_65up_female,,confirmed_covid_cases_062021,,confirmed_covid_deaths_062021,,total_votes_counted,,legal_age_to_vote_and_didnt
West Virginia,0.7990,0.9350,0.0360,0.0030,0.0080,0.0180,0.0170,0.0751,0.8650,0.2030,0.1410,0.0830,0.5310,0.1600,0.005405530,0.006674630,,1389674,0.014533357,,,887770,,904377,,402473,,195536,,206937,,1022663,,509222,,513441,,367011,,167392,,199619,,162845,,2848,,794652,,595022
Wisconsin,0.7820,0.8700,0.0670,0.0130,0.0300,0.0200,0.0710,0.0589,0.9190,0.2950,0.0820,0.0680,0.6660,0.1040,0.017561808,0.015006944,,4400339,0.026965505,,,2897209,,2925225,,1422095,,695351,,726744,,3383096,,1677985,,1705111,,1017243,,465354,,551889,,676178,,8007,,3297434,,1102905
Wyoming,0.7690,0.9250,0.0130,0.0280,0.0110,0.0220,0.1010,0.0784,0.9290,0.2690,0.0890,0.1480,0.6640,0.1010,0.001745671,0.026907172,,430587,0.006128524,,,294730,,284029,,148172,,71623,,76549,,331408,,160987,,170421,,99179,,47760,,51419,,61012,,725,,276765,,153822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,1,,0,162665433,0,167728929,0,81936655,0,40081530,0,41855125,0,193858627,0,97362408,0,96500139,0,54595806,0,24310815,0,30284991,0,33421264,0,598685,0,160496108,0,94610914
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,255107022,,,,162665433,,167728929,,,,,,,,,,,,,,,,,,,,,,,,,,
